PR_NO,PARK_NAME,NODE_ID,NODE_USE,NODES_NAME,ITEM_ID,ITEM_TYPE,ITEMS_NAME,DESCRIPTION,EASTING,NORTHING,LONGITUDE,LATITUDE
D1279,THE LAKE PARKLANDS,"26,614",RECREATION NODE,THE ESPLANADE FITNESS STATION,"61,176",LIGHTING,,Street Estate Light Pole,"496,562.00","6,944,290.00",152.9651532,-27.62542147
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"124,437",LIGHTING,,Path light,"496,621.79","6,944,878.77",152.9657609,-27.62010633
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"125,397",LIGHTING,,Path light,"496,623.33","6,944,898.93",152.9657765,-27.61992434
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"125,040",LIGHTING,,Path light,"496,277.00","6,944,351.00",152.9622647,-27.62487002
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"121,408",LIGHTING,,Path light,"496,338.00","6,944,870.00",152.9628845,-27.62018477
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"121,391",LIGHTING,,Path light,"496,310.00","6,944,735.00",152.9626003,-27.62140344
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"118,294",LIGHTING,,Path light,"506,038.20","6,959,857.82",153.061124,-27.48486804
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,447",LIGHTING,,post,"496,705.47","6,944,873.38",152.966609,-27.6201552
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,434",LIGHTING,,post,"496,619.62","6,944,866.83",152.9657388,-27.62021412
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,433",LIGHTING,,post,"496,606.66","6,944,848.20",152.9656074,-27.62038228
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,431",LIGHTING,,post,"496,571.98","6,944,836.16",152.9652559,-27.62049088
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,429",LIGHTING,,post,"496,512.38","6,944,820.48",152.9646518,-27.62063229
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,426",LIGHTING,,post,"496,430.00","6,944,836.90",152.9638169,-27.62048384
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,425",LIGHTING,,post,"496,401.30","6,944,848.32",152.963526,-27.62038066
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,610",LIGHTING,,bikeway,"496,322.78","6,944,354.55",152.9627287,-27.6248381
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"100,569",LIGHTING,,Seabrook Cres car park light,"518,756.51","6,961,701.10",153.189841,-27.46811097
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,404",LIGHTING,,post,"496,293.15","6,944,770.69",152.9624297,-27.6210812
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,604",LIGHTING,,bikeway,"496,427.16","6,944,332.69",152.9637866,-27.62503573
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,603",LIGHTING,,in ground light,"496,441.23","6,944,334.79",152.9639292,-27.62501681
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,602",LIGHTING,,in ground light,"496,442.04","6,944,330.82",152.9639374,-27.62505265
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,600",LIGHTING,,bikeway,"496,457.87","6,944,338.16",152.9640979,-27.62498643
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,597",LIGHTING,,bikeway,"496,488.50","6,944,338.43",152.9644084,-27.62498407
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,596",LIGHTING,,bikeway,"496,509.99","6,944,316.79",152.9646261,-27.62517949
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"117,642",LIGHTING,,Alexandrina Cct car park light,"506,322.56","6,981,867.56",153.0638882,-27.28616076
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,737",LIGHTING,,Bikeway,"496,770.33","6,944,777.56",152.9672661,-27.6210204
D1279,THE LAKE PARKLANDS,"18,423",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE 3 (STAGE),"121,451",LIGHTING,,post,"496,648.90","6,944,867.11",152.9660356,-27.62021167
D1279,THE LAKE PARKLANDS,"18,423",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE 3 (STAGE),"121,450",LIGHTING,,post,"496,667.74","6,944,864.58",152.9662265,-27.62023455
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,416",LIGHTING,,post,"496,346.13","6,944,799.92",152.9629667,-27.62081746
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,413",LIGHTING,,post,"496,379.16","6,944,855.81",152.9633017,-27.62031298
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,405",LIGHTING,,post,"496,325.00","6,944,789.00",152.9627525,-27.62091598
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,733",LIGHTING,,Bikeway,"496,434.09","6,944,684.17",152.9638579,-27.62186266
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,727",LIGHTING,,Bikeway,"496,432.16","6,944,476.54",152.9638377,-27.62373709
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,725",LIGHTING,,Bikeway,"496,409.79","6,944,432.31",152.9636109,-27.62413633
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,724",LIGHTING,,Bikeway,"496,384.19","6,944,394.75",152.9633513,-27.62447535
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,595",LIGHTING,,bikeway,"496,528.20","6,944,291.13",152.9648106,-27.62541119
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,594",LIGHTING,,bikeway,"496,529.80","6,944,236.80",152.9648267,-27.62590167
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,591",LIGHTING,,bikeway,"496,525.33","6,944,266.13",152.9647814,-27.62563687
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,589",LIGHTING,,bikeway,"496,561.76","6,944,327.19",152.9651509,-27.62508573
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,740",LIGHTING,,Bikeway,"496,728.20","6,944,843.73",152.9668393,-27.62042293
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,587",LIGHTING,,bikeway,"496,537.38","6,944,416.11",152.964904,-27.62428292
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,583",LIGHTING,,bikeway,"496,541.90","6,944,471.15",152.96495,-27.62378604
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,582",LIGHTING,,bikeway,"496,556.39","6,944,488.45",152.9650969,-27.6236299
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,579",LIGHTING,,path,"496,583.94","6,944,493.25",152.9653762,-27.62358663
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,578",LIGHTING,,bikeway,"496,575.73","6,944,514.22",152.965293,-27.6233973
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,575",LIGHTING,,bikeway,"496,603.94","6,944,563.07",152.9655791,-27.62295636
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,449",LIGHTING,,post,"496,639.98","6,944,866.45",152.9659452,-27.6202176
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,448",LIGHTING,,post,"496,652.26","6,944,877.05",152.9660697,-27.62012194
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"152,937",LIGHTING,,Path lighting,"496,446.00","6,944,518.00",152.9639781,-27.62336284
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"127,740",LIGHTING,,Path light,"496,357.00","6,944,731.00",152.9630767,-27.62143968
D1279,THE LAKE PARKLANDS,"24,764",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE AMPHITHEATRE,"117,045",LIGHTING,,street,"496,647.81","6,944,632.46",152.9660239,-27.62233003
D1279,THE LAKE PARKLANDS,"24,764",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE AMPHITHEATRE,"79,288",LIGHTING,,Boardwalk light,"496,659.00","6,944,649.00",152.9661374,-27.62218074
D1279,THE LAKE PARKLANDS,"24,764",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE AMPHITHEATRE,"117,208",LOG/BOLLARD BARRIER,,log bollard,"496,671.10","6,944,657.48",152.96626,-27.62210422
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"127,727",LOG/BOLLARD BARRIER,,timber bollard,"496,255.50","6,944,318.91",152.9620467,-27.62515967
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"127,843",LOG/BOLLARD BARRIER,,log bollard,"496,717.76","6,944,861.87",152.9667335,-27.62025914
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"117,200",LOG/BOLLARD BARRIER,,timber bollard,"496,725.52","6,944,657.31",152.9668116,-27.62210588
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"127,844",LOG/BOLLARD BARRIER,,bollard,"496,688.70","6,944,894.23",152.9664391,-27.61996693
D1279,THE LAKE PARKLANDS,"18,427",RECREATION NODE,FOREST LAKE PRECINCT,"120,631",LOG/BOLLARD BARRIER,,Bollard seats at edge of deck,"496,454.00","6,944,343.00",152.9640587,-27.62494272
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"127,841",LOG/BOLLARD BARRIER,,ranch type,"496,763.56","6,944,786.03",152.9671975,-27.62094392
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"128,310",LOG/BOLLARD BARRIER,,bollard,"496,688.34","6,944,894.60",152.9664354,-27.61996359
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"128,164",LOG/BOLLARD BARRIER,,bollard painted,"495,866.62","6,944,537.76",152.9581058,-27.6231828
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"128,165",LOG/BOLLARD BARRIER,,painted bollard,"495,871.44","6,944,600.25",152.9581549,-27.62261867
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"128,301",LOG/BOLLARD BARRIER,,bollard,"496,600.30","6,944,891.70",152.9655431,-27.61998955
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"128,257",LOG/BOLLARD BARRIER,,bollard,"496,164.13","6,944,729.74",152.9611219,-27.62145052
D1279,THE LAKE PARKLANDS,"33,023",VEHICLE ACCESS,FRESHWATER CCT CAR PARKING & SQID ACCESS,"125,385",MANAGEMENT ACCESS,,SQID maintenance access from Freshwater Cct,"496,325.59","6,944,900.64",152.9627589,-27.61990812
D1279,THE LAKE PARKLANDS,"18,415",PLAYGROUND NODE,FRESHWATER CCT PLAYGROUND,"125,381",MATTING,,,"496,334.98","6,944,844.79",152.9628539,-27.62041235
D1279,THE LAKE PARKLANDS,"24,764",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE AMPHITHEATRE,"44,306",MEMORIAL/MONUMENT,,Memorial plaque on rock,"496,661.00","6,944,641.00",152.9661576,-27.62225297
D1279,THE LAKE PARKLANDS,"24,764",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE AMPHITHEATRE,"57,135",MEMORIAL/MONUMENT,,Memorial Plaque on rock,"496,715.00","6,944,643.00",152.9667049,-27.62223505
D1279,THE LAKE PARKLANDS,"33,804",SERVICE NODE,BLUE LAKE COURT SQID,"125,367",MULTI-USE ACCESS,,Access to SQID & pathway from Blue Lake Crt,"496,189.00","6,944,731.00",152.9613739,-27.62143922
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,441",PARK DRAIN,,stormwater inlet,"496,655.27","6,944,895.23",152.9661002,-27.61995782
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,290",PARK DRAIN,,stormwater outlet,"495,884.96","6,944,621.49",152.958292,-27.62242696
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,400",PARK UTILITY COMPONENT,,unknown maintenance hole,"496,270.33","6,944,775.53",152.9621984,-26.62242696
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,423",PARK UTILITY COMPONENT,,unknown maintenance hole,"496,305.32","6,944,892.71",152.9625534,-27.62261867
D1279,THE LAKE PARKLANDS,"24,764",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE AMPHITHEATRE,"53,473",PATH,,Disabled access ramp and rail,"496,712.00","6,944,636.00",152.9666745,-27.61998955
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"127,741",PATH,,Path from Alexandrina Cct,"496,293.61","6,944,728.01",152.9624342,-27.62145052
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"31,404",PATH,,Path Freshwater Cct to bikeway,"496,326.00","6,944,797.00",152.9627627,-27.61990812
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"124,325",PATH,,Path with steps,"496,654.12","6,944,892.35",152.9660886,-27.62041235
D1279,THE LAKE PARKLANDS,"33,046",RECREATION ACCESS,FOREST LAKE SOUTH SHARED PATHWAY,"31,407",PATH,,Path to lake crossing,"496,376.00","6,944,337.00",152.9632681,-27.62225297
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"117,205",PATH,,pedestrian,"496,723.37","6,944,682.01",152.9667899,-27.62223505
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"117,201",PATH,,pedestrian,"496,720.98","6,944,647.33",152.9667656,-27.62143922
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"127,712",PATH,,Pedestrian,"496,582.00","6,944,492.71",152.9653565,-27.61995782
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"128,321",PATH,,paved pedestrian,"496,356.71","6,944,926.63",152.9630743,-27.62242696
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"128,318",PATH,,paved pedestrian,"496,644.97","6,944,867.63",152.9659958,-27.62242691
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"128,309",PATH,,paved pedestrain,"496,641.92","6,944,886.72",152.9659649,-27.62261867
D1279,THE LAKE PARKLANDS,"18,418",PLAYGROUND NODE,THE ESPLANADE (JETTY WALK) PLAYGROUND,"117,204",PATH,,pedestrian,"496,718.58","6,944,676.39",152.9667413,-27.61998955
D1279,THE LAKE PARKLANDS,"18,415",PLAYGROUND NODE,FRESHWATER CCT PLAYGROUND,"6,242",PATH,,Path to bikeway,"496,349.00","6,944,842.00",152.9629959,-27.62145052
D1279,THE LAKE PARKLANDS,"18,346",RECREATION NODE,LAKESIDE CRES (BIKEWAY) FITNESS TRAIL,"76,184",PATH,,,"496,269.00","6,944,335.00",152.9621836,-27.61990812
D1279,THE LAKE PARKLANDS,"33,048",VEHICLE ACCESS,FOREST LAKE BVD NORTHERN CAR PARK,"31,409",PATH,,Path from car park,"496,665.00","6,944,900.00",152.9661989,-27.62041235
D1279,THE LAKE PARKLANDS,"24,763",RECREATION ACCESS,FOREST LAKE CIRCUIT PATH & BIKEWAY NETWORK,"117,569",PATH,,,"506,323.02","6,981,863.88",153.0638929,-27.62225297
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,022",PERENNIAL GARDEN/LANDSCAPING,,,"496,416.50","6,944,428.63",152.9636789,-27.62223505
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,020",PERENNIAL GARDEN/LANDSCAPING,,,"496,254.20","6,944,319.59",152.9620335,-27.62143922
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,014",PERENNIAL GARDEN/LANDSCAPING,,,"496,350.69","6,944,312.14",152.9630115,-27.61995782
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,013",PERENNIAL GARDEN/LANDSCAPING,,,"496,362.94","6,944,307.29",152.9631356,-27.62242696
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,388",PERENNIAL GARDEN/LANDSCAPING,,,"496,363.43","6,944,909.09",152.9631424,-28.62001018
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,387",PERENNIAL GARDEN/LANDSCAPING,,,"496,341.34","6,944,889.34",152.9629185,-27.62001018
